type_location,adresse,prix_par_mois,details,description,supplements
Location Appartement,Noisy-le-Grand (93160),1.294 €,3 pièces 2 chambres 69 m²,"A 10 min à pied de la gare Noisy-Champ (RER A) avec les futures lignes du Grand Paris (15 et 16), situé dans un quartier calme.

Cet appartement, lumineux, est composé d'un grand séjour et de deux chambres. Cuisine et salle de bain aménagées sur-mesure. Plaque à induction dans la cuisine et belle douche dans la salle de bain avec fenêtre.

Ce joli T3 de 69m² muni d'un balcon ainsi que d'une cave et d'un parking résidentiel est proche de toutes les commodités : grande surface, cinéma, nombreuses écoles et à moins de 30 du centre de Paris min en RER …

Eau froide et chauffage central (au sol) compris dans les charges.
Tout électrique - ballon d'eau chaude pour l'eau sanitaire, plaque à induction pour la cuisine.
Nous sommes joignables à partir de 18h",| Noisy - Champs| Noisy-le-Grand - Mont d’Est| Les Yvris Noisy le Grand
Location Appartement,Gennevilliers (92230),660 €,1 pièce 20 m²,"A 250 m du métro Gabriel Péri et terminus des bus.
F1 de 20 m² environ, au 4ème étage avec ascenseur. Clair et calme.
Entrée séjour/coin nuit, coin wc, douche et petite cuisine.
Double vitrage, digicode. Idéal personne seule ou étudiant(e).
Location vide.

Loyer : 540 €/mois + 120€ charges (eau chaude, chauffage, entretien de l'immeuble et ascenseur inclus).
Proche commerces de proximité et du centre ville.
Dossier sérieux et complet :
Photocopie carte d'identité, passeport,
3 derniers bulletins de salaire,
Contrat de travail,
Dernier avis d'imposition.

Uniquement avec garantie VISALE ou FASTT.",
Location Appartement,Nogent-sur-Marne (94130),1.200 €,3 pièces 1 chambre 45 m²,"F3 de 45 m2, dans immeuble ancien plein de charme, parquet moulure et cheminée, 2ème étage, très ensoleillé avec grande fenêtre dans chaque pièce. Entièrement meublé.

Ddans un quartier résidentiel calme et proche des commerces, moins de 10 min à pied du RER Nogent-sur-Marne et Fontenay-sous-Bois et moins 30 min du centre de Paris.
Loyer 1.200 €/mois charges comprises.
!! Agence s’abstenir.",| Nogent-sur-Marne| Fontenay-sous-Bois| Nogent le Perreux
Location Appartement,Paris 15e (75015),875 €,1 pièce 26 m²,"Porte de Versailles.
26 m2, entièrement rénové dans bel immeuble avec gardien, interphone. cuisine indépendante équipée (réfrigérateur, plaque de cuisson, four) salle d'eau équipée, wc.
Studio partiellement meublé.

Rez-de-chaussée. Chauffage et eau chaude par immeuble.
Sérieuses références et caution demandées.
Faire une description détaillée de votre situation.
Visite sur rdv avec dossier complet.
Loyer 800 E/mois + 75 E charges.",| Porte de Versailles (Parc des Expositions de Paris)| Desnouettes| Lourmel
Location Maison,Montreuil (93100),3.300 €,5 pièces 4 chambres 120 m²,"Location meublée maison d'architecte
5 minutes à pied métro Croix-de-Chavaux ligne 9
Maison d'architecte plein sud sans vis-à-vis avec vue panoramique sur parc paysager classé site natura 2000
4 chambres dont une en mezzanine confortable pour 8 personnes couchage possible jusqu'à 10 suite parentale, 2 salles de bains, 2 wc, cuisine très équipée avec lave-vaisselle, terrasse couverte avec plancha et barbecue, buanderie avec lave-linge, sèche-linge, grand réfrigérateur et grand congélateur, chaudière gaz, alarme connectée.

Loyer 3.300€/mois + 200€ charges (consommation eau gaz électricité incluse, avec box et wifi et TV).
Possibilité court terme (bail mobilité) avant signature d'un contrat annuel.
Contact par mail ou SMS détaillé exclusivement. Rappel rapide assuré.",| Croix de Chavaux (Place Jacques Duclos)| Robespierre| Gallieni (Parc de Bagnolet)
Location Maison,Cergy (95000),590 €,9 pièces 1 chambre 15 m² Terrain 60 m²,"Chambres en colocation dans maison individuelle dans cadre exceptionnel, faisant partie d'un Manoir.
Au cœur d'un écrin de verdure à deux pas de la Base de loisirs de Cergy face au port de plaisance.
Lieu calme et verdoyant proche des accès routiers et des transports en commun.

A propos des colocataires : Etudiants ou jeunes actifs, mixte.
Convivialité, échanges et entraide sont les valeurs de cette colocation.

A proximité : ⮚ Grandes écoles : ESSEC, EISTI, ISTOM, Université Cergy, IPSL et ENSEA etc …
⮚ Routes : A15, N184, A16
⮚ Transports : RER A, Ligne L Cergy préfecture et Neuville université, Ligne J Eragny Neuville bus à proximité n°48 et n°38
⮚ Magasins : A 900 m boulangerie, superette, pharmacie, bar et restaurant du port, centre commercial des 3 fontaines à 2.5km

A propos des chambres : Lit 140 x 190 + 1 parure de lit complète fournie
Bureau + lampe + poubelle + Prise internet (RJ45)
Armoire
Fauteuil
Chevet avec lampe
Porte manteau

Il reste uniquement :
Chambre meublée n°2 : 540 € + 50 € (charges) avec terrasse.
Chambre meublée n°7 : 590 € + 50 € (charges).

Vous avez besoin de vous investir dans votre premier emploi, votre stage ou vos études.
Vous cherchez des commerces et des transports en commun à proximité.
Vous recherchez pour une année ou plus, un logement meublé fonctionnel avec fibre optique, tout équipé sans vous soucier des démarches administratives concernant les souscriptions aux services d'électricité, de l'eau, d'internet…

Ce service tout inclus comprend l'eau, l'électricité, le chauffage, Internet Fibre Optique en wifi, le ménage des parties communes (1 fois par semaine) : cuisine, salles de bains, wc, séjour et couloirs, les équipements de cuisine, lave-linge, sèche-linge, Vous n'aurez plus qu'à poser vos valises.

Visite possible sur demande par WhatsApp ou sur site.
Photos supplémentaires sur demande.
Bail sans clause solidaire.
Contact par email dans un premier temps.
Merci de nous contacter par mail et nous décrivant votre parcours",| Cergy - Préfecture| Neuville - Université| Eragny - Neuville
Location Appartement,Rueil-Malmaison (92500),1.400 €,2 pièces 1 chambre 50 m²,"Grand 2 pièces (50 m²) + grand balcon (12 m²) loué en meublé dans petite résidence bien entretenue, très calme, proche centre ville,

Très fonctionnel, complètement équipé, premier étage, ascenseur.
Entrée avec placard, dégagement
Séjour- salle à manger
Chambre avec grand placard/penderie.
Cuisine meublée et équipée (plaque à induction, four, réfrigérateur, congélateur, micro-ondes, lave vaisselle).
Salle de bains, wc séparés, lave-linge séchant
Dressing avec rangements,
Les + : canapé convertible (dans séjour), fer à repasser, aspirateur
Grand balcon,
Cave, 1 parking.

A proximité du centre ville, commerces, cinéma, restaurants
Bus La défense/Saint Germain à proximité immédiate,
RER A et gare routière (autres destinations) à 10 min à pied.

Loyer : 1250 €/mois de loyers + 150€ de charges (hors électricité).

Disponible mi janvier.

Visite sur rendez vous.
Disponible au téléphone toute la journée à partir de 9h.",| Rueil-Malmaison| Nanterre - Ville| Chatou - Croissy
Location Appartement,Montreuil (93100),690 €,1 pièce 15 m²,"Idéal pied à terre sécurisée
5 minutes à pied métro Croix de Chavaux (ligne 9) et bus.
20 minutes en voiture de Roissy ou de gare de Lyon.
A 50 m du grand parc paysager classé site Natura2000.

Au bout d'une impasse, calme.
Studette 15 m2 environ, refaite à neuf, meublée pour 1 personne.
Salle d'eau et kitchenette.
Couchage haute qualité. Un bureau plus plan de travail avec fauteuil ergonomique.

Double vitrage, chauffage individuel inclus.
Réfrigérateur/congélateur, micro-ondes, plaque induction. Wifi.
Jardinet privatif 20 m2 plein Sud (cerisier, rosiers), barbecue gaz.

Références et garanties demandées.
Court terme possible (bail mobilité).

**Loyer : 690 E/mois charges comprises (wifi),

Contact par mail ou SMS détaillé exclusivement. Rappel rapide assuré.",
Location Appartement,Le Blanc-Mesnil (93150),1.280 €,3 pièces 2 chambres 60 m²,"Nouveau appartement de 3 pièces qui viens d'être livré, au 1er et dernier étage avec ascenseur, dans bel immeuble bien entretenu avec gardien. Très ensoleillé.
juste à 2 min de l'aéroport Bourget, toutes les commodités au tours, (Boulevard- Gare RER Bourget - tous les commerces).",| Le Bourget| Drancy| La Courneuve - 8 Mai 1945
Location Appartement,Suresnes (92150),1.990 €,2 pièces 1 chambre 63 m²,"2/3 pièces meublé, très lumineux, exposé Sud-Est (séjour et chambre) et Nord-Est (cuisine et séjour),

Appartement 63 m² environ refait à neuf récemment, dans résidence calme, grand standing (nombreux espaces verts et jardins, gardiens,...), situé au 4eme niveau ascenseurs.
Idéal cadre dirigeant ou expatrié.

Vues exceptionnelles ( Tour Eiffel, Bois de Boulogne, quai de Seine).
Baies double vitrage en angle d'immeuble.

Entièrement équipé : télévision Led Samsung (116 cm), home cinéma, DVD, Lave-linge séchant, four pyrolyse, micro-ondes, plaques vitro, linge maison, literie, vaisselle...
Ameublement/Décoration modernes & soignés (verre - aluminium) ; aucun tissu allergisant (ni moquette ni tapis) : Parquet dans toutes les pièces à vivre, pièces d'eau avec carrelage (salle de bains - wc séparés - cuisine).

Situé à 5 min de La Défense et des Champs Elysées (Paris 8°), à 100 m bois de Boulogne.
Près toutes commodités (à - de 5 min) : Mairie, Poste, marché, bibliothèque médiathèque, Cinéma 'Le Capitole', très nombreux restaurants, etc.

Dans résidence : 'Galerie Bagatelle' (commerces de standing) + salle de Sports haut de gamme (ouverte en 2016).
Tous Transports : 300 m Tramway T2, bus à 3 min (RER La Défense / Pont de Neuilly / Métro Porte Maillot),
Gare SNCF à 7 min (15 min Paris Saint-Lazare), Velib à 100m.

A disposition : local à vélos fermé à clés.
Accès internet très haut débit (fibre & coaxial).

Possibilité place de parking couvert et sécurisé (maître chien la nuit) avec accès direct & privé au hall de l'immeuble (120€ hors charges).

Loyer mensuel : 1.840 €/mois hors charges (150€).",| Suresnes-Longchamp| Suresnes-Mont-Valérien| Belvédère
Location Appartement,Villejuif (94800),1.100 €,2 pièces 1 chambre 39 m²,"Appartement lumineux refait à neuf en 2018 loué meublé dans copropriété arborée avec espace extérieur privatif.

Exposé Ouest/Sud-Ouest, au 7ème étage/10 avec ascenseur et sans vis à vis, il est composé :
- d'une entrée séparée,
- d'une pièce de vie avec une grande baie vitrée donnant sur le balcon (avec table et chaises extérieures)
- cuisine semi-ouverte tout équipée (four, plaque à induction, micro-onde…)
- d'une chambre meublée avec lit, armoire, étagères
- salle de bain avec baignoire
- toilette séparée
- d'une remise avec machine à laver, rangements

L'appartement est dans une copropriété avec local à vélo et gardien à 2 pas de commerces (boulangerie, supermarché, coiffeur…), salle de sport (Antrebloc)

Les charges (réévaluées suivant conso perso) sont ~145 €/mois et comprennent:
- eau froide/chaude (avec compteur individuel)
- chauffage collectif
- frais divers de ménages et d'entretien

Prévoir :
Internet (fibre) ~ 20€/mois
Électricité ~ 30€/mois

3 min du métro Léo Lagrange Ligne 7
8 min du tram T9 La Briqueterie
10 min de Place d'Italie
15 min en voiture/taxi de l'aéroport d'Orly
20 min en métro de Châtelet.

Libre, premier contact par mail avec bref descriptif de votre situation (étudiant, actif…).
Garant demandé (possibilité de faire une demande à votre banque)",| Villejuif - Léo Lagrange| Villejuif - Paul Vaillant-Couturier| Le Kremlin-Bicêtre
Location Appartement,Montesson (78360),1.750 €,3 pièces 2 chambres 98 m²,"Montesson Centre << Village>>.
Super espace de 98m². Style loft , comprenant:
-Au rez-de-chaussée : une surface de 51.75 m2, toit chapelle, cuisine ouverte, mezzanine, salle d'eau, wc.
-Au 1er étage : une chambre de 16,10 m2 avec toilettes, lavabo, wc.
-Au 2e : chambre de 17,75 m2 avec douche, lavabo.
Au sous-sol rangements.
Petite cour privative ensoleillée.
Double vitrage.
Chauffage gaz. Le tout en parfait état,


Secteur calme.
L'ensemble peut être loué soit en habitation,soit professionnel soit en commercial.

Loyer : 1680 E/mois + 70 E de provision charges

Libre de suite.
Tous les jours.",
Location Appartement,Rueil-Malmaison (92500),1.800 €,3 pièces 2 chambres 80 m²,"Rueil - Appartement 3/4 pièces, 80 m², 12 min à pied du RER A, clair, plein Sud.
Pièce à vivre 40 m², 2 chambres, 2 grands dressings, salle de bains avec douche et baignoire, wc séparés, cuisine aménagée - semi-équipée, 1 parking interne et 1 parking extérieur.
Dans une petite résidence calme , au 1er étage avec ascenseur.

Loyer : 1680 €/mois + provision de charges 120 €/mois.",| Rueil-Malmaison| Nanterre - Ville| Chatou - Croissy
Location Appartement,Cachan (94230),1.200 €,2 pièces 1 chambre 54 m²,"Centre en face mairie.
F2 refait à neuf au 2e étage sur jardin, plein sud :
chambre, salon avec balcon, cuisine équipée neuf :
meuble, plaque gaz, four etc...
wc neuf séparés, salle de bains neuf, cellier.
Chauffage gaz individuel neuf avec radiateurs neufs.

Transport : RER : Arcueil, Cachan. Bus : 162 , 184 , 187.

Conditionne : fiches du paye, déclaration impôts, garant demandé.
Loyer 1.100 E/mois + 100 E charges.
Avant 20H",| Arcueil - Cachan| Bagneux| Laplace
Location Appartement,Paris 16e (75016),1.250 €,2 pièces 1 chambre 37 m²,"Paris 75016 , dans bel immeuble pierre de taille, 2 pièces 37 m2 non meublé, au rez-de-chaussée sur cour :

Salon et chambre, cuisine séparée, salle de bains, wc séparés, très proche Trocadéro ou Boissière à deux pas de la Tour Eiffel, proximité bus et tous commerces.

Libre de suite.

Chauffage individuel gaz.

Loyer : 1250 charges comprises.

Possibilité de colocation.",| Trocadéro| Boissière| Iéna
